metric_name,metric_short_name,domain,module,level,variable_global_name,unit_global,variable_model_name,depth_01,model,unit_model,conversion_factor,function_name
Temp_degreeCelcius,Temp,Water,LER,Level1,Temp_degreeCelcius,degreeCelcius,temp,1,GLM,celcius,1,
Temp_degreeCelcius,Temp,Water,LER,Level1,Temp_degreeCelcius,degreeCelcius,temp,1,SELMAPROTBAS,celcius,1,
Temp_degreeCelcius,Temp,Water,LER,Level1,Temp_degreeCelcius,degreeCelcius,temp,1,WET,celcius,1,
TN_gramsPerCubicMeter,TN,Water,Nitrogen,Level1,TN_gramsPerCubicMeter,gramsPerCubicMeter,total_nitrogen_calculator_result,1,SELMAPROTBAS,mmol m-3,0.014,
TN_gramsPerCubicMeter,TN,Water,Nitrogen,Level1,TN_gramsPerCubicMeter,gramsPerCubicMeter,TOT_tn,1,GLM,mmol N/m3,0.014,
TN_gramsPerCubicMeter,TN,Water,Nitrogen,Level1,TN_gramsPerCubicMeter,gramsPerCubicMeter,wet_totN_calculator_result,1,WET,g m-3,1,
TOC_gramsPerCubicMeter,TOC,Water,Carbon,Level1,TOC_gramsPerCubicMeter,gramsPerCubicMeter,TOT_toc,1,GLM,mmol C/m3,0.01201,
TOC_gramsPerCubicMeter,TOC,Water,Carbon,Level1,TOC_gramsPerCubicMeter,gramsPerCubicMeter,total_carbon_calculator_result,1,SELMAPROTBAS,mmol m-3,0.01201,
Total_Chla_miligramsPerCubicMeter,TChla,Water,Phytoplankton,Level1,Total_Chla_miligramsPerCubicMeter,miligramsPerCubicMeter,total_chlorophyll_calculator_result,1,SELMAPROTBAS,mg/m^3,1,
Total_Chla_miligramsPerCubicMeter,TChla,Water,Phytoplankton,Level1,Total_Chla_miligramsPerCubicMeter,miligramsPerCubicMeter,PHY_tchla,1,GLM,ug/L,1,
Total_Chla_miligramsPerCubicMeter,TChla,Water,Phytoplankton,Level1,Total_Chla_miligramsPerCubicMeter,miligramsPerCubicMeter,wet_chla_calculator_result,1,WET,ug/L,1,
Total_Suspended_Solids,TSS,Water,Carbon,Level1,Total_Suspended_Solids,,wet_totSusPar_calculator_result,1,,,,
TP_gramsPerCubicMeter,TP,Water,Phosphorus,Level1,TP_gramsPerCubicMeter,gramsPerCubicMeter,"	
total_phosphorus_calculator_result",1,SELMAPROTBAS,mmol m-3,0.03097,
TP_gramsPerCubicMeter,TP,Water,Phosphorus,Level1,TP_gramsPerCubicMeter,gramsPerCubicMeter,TOT_tp,1,GLM,mmol P/m3,0.03097,
TP_gramsPerCubicMeter,TP,Water,Phosphorus,Level1,TP_gramsPerCubicMeter,gramsPerCubicMeter,wet_totP_calculator_result,1,WET,g m-3,1,
