"","module","domain","process","subprocess","model","parameter","path","unit","default","version","note"
"257","phosphorus","sediment","absorption","absorption","wet","cRelPAdsDWS","abiotic_sediment/parameters/cRelPAdsDWS","gP/gDW","3.00E-05","1","max. P adsorption per g DW"
"258","phosphorus","water","absorption","absorption","wet","cRelPAdsDWW","abiotic_water/parameters/cRelPAdsDWW","gP/gDW","3.00E-05","1","maximum P adsorption per g DW"
"259","fish","water","stoichiometry","nitrogen_ratio","pclake","cNDFishRef","parameters/cNDFishRef","gN*gDW^-1","0.1","1.0.0","Reference_N/C_ratio_of_Fish"
"260","fish","water","stoichiometry","nitrogen_ratio","pclake","cNDPisc","parameters/cNDPisc","gN*gDW^-1","0.1","1.0.0","Reference_N/C_ratio_of_Pi_sc"
"261","phosphorus","sediment","absorption","absorption","wet","cRelPAdsFeS","abiotic_sediment/parameters/cRelPAdsFeS","gP/gFe","0.06","1","max. P adsorption per g Fe"
"262","fish","water","stoichiometry","nutrient_ratio","pclake","fDissMortFish","parameters/fDissMortFish","-","0.1","1.0.0","Soluble_nutrient_fraction_of_died_fish(excl_bones_and_scales"
"263","fish","water","stoichiometry","nutrient_ratio","pclake","fDissMortPisc","parameters/fDissMortPisc","-","0.1","1.0.0","Soluble_nutrient_fraction_of_died_Pi_sc(excl_bones_and_scales"
"264","fish","water","stoichiometry","phosphorus_ratio","pclake","cPDFishRef","parameters/cPDFishRef","gP*gDW^-1","0.022","1.0.0","Reference_P/C_ratio_of_Fish"
"265","fish","water","stoichiometry","phosphorus_ratio","pclake","cPDPisc","parameters/cPDPisc","gP*gDW^-1","0.022","1.0.0","Reference_P/C_ratio_of_Pi_sc"
"266","phosphorus","water","absorption","absorption","wet","cRelPAdsFeW","abiotic_water/parameters/cRelPAdsFeW","gP/gFe","0.0675","1","maximum P adsorption per g Fe"
"267","phytoplankton","water","stoichiometry","equation_options_n_fixation","wet","cNFixMax","{group_name}/parameters/cNFixMax","mgN/mgDW/d","0.01","1","lNfix=.true.; maximum N fixation rate"
"268","carbon","sediment","water_sediment_exchange","resuspension","wet","cSuspRef","sediment_exchange/parameters/cSuspRef","-","0","1","qResus = 1; reference suspended matter function"
"269","carbon","sediment","water_sediment_exchange","resuspension","wet","cSuspSlope","sediment_exchange/parameters/cSuspSlope","-","2.1","1","qResus = 1; slope of logistic function"
"270","carbon","sediment","water_sediment_exchange","resuspension","wet","cThetaSed","sediment_exchange/parameters/cThetaSed","1/e^*C","1.01","1","temperature coefficient of sedimentation"
"271","phytoplankton","water","growth","equation_options_n_fixation","wet","fMuNFix","{group_name}/parameters/fMuNFix","-","0.9","1","lNfix=.true.; fraction of MuMax at max N fix."
"272","phytoplankton","water","stoichiometry","equation_options_n_fixation","wet","lNfix","{group_name}/parameters/lNfix","(boolean)"," false","1","toggle nitrogen fixation"
"273","zoobenthos","sediment","grazing","temperature_limitation","wet","cSigTmBent","{group_name}/parameters/cSigTmBent","*C","16","1","temp. constant; sigma in Gaussian curve"
"274","carbon","sediment","water_sediment_exchange","resuspension","wet","cVSedIM","sediment_exchange/parameters/cVSedIM","m/d","1","1","IM sedimentation velocity constant at 20*C"
"275","carbon","sediment","water_sediment_exchange","resuspension","wet","cVSedPOM1","sediment_exchange/parameters/cVSedPOM1","m/d","0.5","1","POM sedimentation velocity constant at 20*C"
"276","carbon","sediment","water_sediment_exchange","resuspension","wet","cVSetMain","sediment_exchange/parameters/cVSetMain","m/d","0.5","1","qResus = 2; depth averaged settling velocity"
"277","carbon","sediment","water_sediment_exchange","resuspension","wet","eta","sediment_exchange/parameters/eta","-","1","1","qResus = 2; shear stress correction factor"
"278","oxygen","water","oxygen_consumption","BOD","pclake","hO2BOD","parameters/hO2BOD","gO2*m^-3","1","1.0.0","Half-sat_oxygen_conc_for_BOD"
"279","oxygen","water","oxygen_consumption","BOD","wet","hO2BOD","DOM/parameters/hO2BOD","mgO2/l","1","1","half saturation oxygen conc. for BOD"
